product,category,price,quantity,revenue,date,region
Widget A,Electronics,29.99,150,4498.50,2024-01-15,North
Widget B,Electronics,49.99,89,4449.11,2024-01-20,South
Gadget X,Home,19.99,200,3998.00,2024-02-01,East
Gadget Y,Home,34.99,120,4198.80,2024-02-10,West
Tool Alpha,Industrial,99.99,45,4499.55,2024-03-05,North
Tool Beta,Industrial,149.99,30,4499.70,2024-03-15,South
Accessory 1,Fashion,9.99,500,4995.00,2024-04-01,East
Accessory 2,Fashion,14.99,300,4497.00,2024-04-10,West
Device Pro,Electronics,199.99,25,4999.75,2024-05-01,North
Device Lite,Electronics,79.99,80,6399.20,2024-05-15,South
Furniture A,Home,299.99,15,4499.85,2024-06-01,East
Furniture B,Home,399.99,12,4799.88,2024-06-15,West
Part 1,Industrial,5.99,800,4792.00,2024-07-01,North
Part 2,Industrial,12.99,400,5196.00,2024-07-15,South
Shirt Basic,Fashion,24.99,250,6247.50,2024-08-01,East
Shirt Premium,Fashion,59.99,100,5999.00,2024-08-15,West
